,data
hazard_dry_beach_lost,Alta
hazard_coastal_erosion,Leve
hazard_flood,Muy leve
total_hazard,Leve
dry_beach_lost_mean,9853.692192003802
dry_beach_lost_5,8282.402407967402
dry_beach_lost_95,11874.561915363092
coastal_erosion_mean,19.600556334537394
coastal_erosion_5,19.600556334537394
coastal_erosion_95,25.347217391822124
dry_beach_lost_rel,0.5315273052883648
flood_area_rel,0.27351425648326205
low_permeability,0.10309278350515463
flood_depth,2.826173459030772
slr,58.95292396366694
slr_5,58.95292396366694
slr_95,58.95292396366694
ma,7.148589982136645
ma_5,6.367688679573185
ma_95,8.180774192149698
flood_area,5070.530275107281
flood_area_5,3887.2960360235907
flood_area_95,6397.730720046061
flood_severity,0.01173134810608134
