,data
hazard_dry_beach_lost,Muy alta
hazard_coastal_erosion,Leve
hazard_flood,Muy leve
total_hazard,Leve
dry_beach_lost_mean,15267.448036778547
dry_beach_lost_5,12964.230353975388
dry_beach_lost_95,17998.65040009083
coastal_erosion_mean,17.986198385479142
coastal_erosion_5,17.986198385479142
coastal_erosion_95,22.499921142678517
dry_beach_lost_rel,0.5370070847434945
flood_area_rel,0.3202983129353217
low_permeability,0.125
flood_depth,2.5649616788706973
slr,49.6204768624468
slr_5,49.6204768624468
slr_95,49.6204768624468
ma,7.876591468572312
ma_5,7.264299655670572
ma_95,8.515070544625443
flood_area,9106.281812545676
flood_area_5,7583.776069489914
flood_area_95,10072.711583028273
flood_severity,0.10497073945205895
