,data
hazard_dry_beach_lost,Muy alta
hazard_coastal_erosion,Moderada
hazard_flood,Muy leve
total_hazard,Leve
dry_beach_lost_mean,9336.455892937716
dry_beach_lost_5,7824.353660480212
dry_beach_lost_95,11092.545351566603
coastal_erosion_mean,18.600447979788978
coastal_erosion_5,18.600447979788978
coastal_erosion_95,23.475465905285663
dry_beach_lost_rel,0.503626574183427
flood_area_rel,0.2455393361645868
low_permeability,0.10526315789473684
flood_depth,2.5649616788706973
slr,49.6204768624468
slr_5,49.6204768624468
slr_95,49.6204768624468
ma,7.876591468572312
ma_5,7.264299655670572
ma_95,8.515070544625443
flood_area,4551.91862303701
flood_area_5,3572.0042046607173
flood_area_95,5141.830169905078
flood_severity,0.05247120871370866
