,data
hazard_dry_beach_lost,Alta
hazard_coastal_erosion,Muy leve
hazard_flood,Muy leve
total_hazard,Muy leve
dry_beach_lost_mean,16892.49186100651
dry_beach_lost_5,14594.214957204611
dry_beach_lost_95,21439.711827579984
coastal_erosion_mean,20.28229661263816
coastal_erosion_5,20.28229661263816
coastal_erosion_95,28.76002975176379
dry_beach_lost_rel,0.5941652977288527
flood_area_rel,0.40368636883541803
low_permeability,0.11904761904761904
flood_depth,3.1848740668485336
slr,71.47220189442406
slr_5,71.47220189442406
slr_95,71.47220189442406
ma,6.343470684540782
ma_5,5.121650615428031
ma_95,8.081728320458664
flood_area,11477.056512754376
flood_area_5,8505.212732038186
flood_area_95,20738.819700224318
flood_severity,0.002695780979875924
