,data
hazard_dry_beach_lost,Alta
hazard_coastal_erosion,Muy leve
hazard_flood,Muy leve
total_hazard,Muy leve
dry_beach_lost_mean,16446.833970180403
dry_beach_lost_5,14124.975483018221
dry_beach_lost_95,20067.20043270138
coastal_erosion_mean,18.57258917562182
coastal_erosion_5,18.57258917562182
coastal_erosion_95,25.91452583876092
dry_beach_lost_rel,0.5784900228453915
flood_area_rel,0.37127738376768876
low_permeability,0.12195121951219512
flood_depth,2.9317196153501595
slr,62.83396320316646
slr_5,62.83396320316646
slr_95,62.83396320316646
ma,6.891230379339948
ma_5,5.980976749921779
ma_95,8.134830909041968
flood_area,10555.648752030633
flood_area_5,8256.44870891093
flood_area_95,14845.937943489569
flood_severity,0.012217086034073468
