# Playas rev. 1.5 (2024-03-124)
,Identificador,Tramo,Nombre,Longitud,Anchura,Direccion,ID_Municipio,Municipio,geometry
23,A02-003_07,A02-003,"07.Playa Cerillos",6960.265402,45,S,04902,"Ejido, El","LINESTRING (526789.0531268923 4059745.8688254096, 526892.446456933 4059806.5262457, 526968.2682322962 4059852.708599785, 527030.3042303206 4059892.6873540673, 527119.9117830226 4059943.6947302204, 527180.5692033131 4059992.634239773, 527221.9265353294 4060038.127304991, 527301.8840438941 4060104.9883250836, 527356.3378643823 4060158.0635678377, 527461.1097721568 4060258.699742411, 527509.3599928425 4060300.057074427, 527589.3175014073 4060353.8216060484, 527656.8678103673 4060385.5288939276, 527740.2717632668 4060406.2075599357, 527816.09353863 4060417.9254706735, 527918.1082909369 4060417.236181807, 527983.5907332961 4060414.479026339, 528037.3552649172 4060416.5468929396, 528169.0094385024 4060427.5755148116, 528256.5491246035 4060457.2149360897, 528388.8925870556 4060495.8151126383, 528457.1321848825 4060522.008089582, 528570.8648479272 4060604.7227536147, 528666.6760004316 4060682.6123955785, 528788.6801298799 4060772.9092371473, 528836.9303505656 4060812.88799143, 528882.4234157834 4060843.216701575, 528947.2165692757 4060868.031100785, 529000.9811008968 4060891.466922261, 529091.9672313327 4060947.98860935, 529166.410428962 4061001.7531409706, 529225.6892715187 4061025.1889624465, 529330.4611792933 4061048.6247839225, 529388.361444116 4061084.4678050033, 529475.2118413502 4061123.067981552, 529564.8193940521 4061121.689403818, 529675.1056127623 4061172.6967799715, 529874.9993841744 4061220.9470006567, 530283.0583934016 4061328.4760638997, 530393.3446121117 4061347.776152174, 530801.403621339 4061478.7410368915, 530942.0185501945 4061532.5055685127, 531046.790457969 4061577.99863373, 531271.498628591 4061691.042007908, 531431.4136457206 4061842.685558635, 531532.0498202936 4061940.5645777397, 531869.8013650933 4062286.587588943, 532128.9739790622 4062565.060291186, 532559.0902320315 4063080.648363656, 532604.5832972497 4063129.587873211)"
24,A02-003_08,A02-003,"08.Playa Serena",1774.314244,110,S,04079,Roquetas de Mar,"LINESTRING (532605.2725861174 4063129.5878732097, 532710.7337827589 4063249.5241360567, 532740.3732040372 4063288.1243126052, 533181.5180788778 4063804.401673942, 533338.6759405397 4063989.1310902815, 533545.4626006212 4064220.7321495726, 533697.1061513476 4064394.432944041, 533757.7635716381 4064477.147608074)"
25,A02-003_09,A02-003,"09.Playa Urbanización de Roquetas de Mar",1573.426466,65,W,04079,Roquetas de Mar,"LINESTRING (533758.4528605054 4064479.215474676, 533850.8175686751 4064564.6872941763, 533912.8535666997 4064634.994758604, 533973.5109869902 4064720.466578104, 534070.0114283615 4064840.402840952, 534136.1831595876 4064942.417593259, 534181.6762248055 4065008.589324485, 534264.3908888382 4065143.6899424046, 534323.6697313949 4065258.1118943165, 534371.9199520805 4065339.447980615, 534440.8488387744 4065462.14139893, 534486.3419039922 4065544.8560629627, 534527.6992360086 4065638.5993488664, 534553.8922129521 4065699.2567691565, 534580.0851898958 4065759.914189447, 534593.8709672346 4065798.514365996)"
26,A02-003_10,A02-003,"10.laya de la Bajadilla",2021.566765,90,W,04079,Roquetas de Mar,"LINESTRING (534593.5263228012 4065799.5482992968, 534629.3693438821 4065911.213095741, 534662.455209495 4066009.092114846, 534695.5410751081 4066112.4854448866, 534742.4127180598 4066261.3718401454, 534774.120005939 4066373.0366365896, 534816.8559156893 4066543.980275591, 534855.4560922378 4066670.8094271077, 534883.0276469153 4066779.7170680836, 534932.6564453348 4066953.417862552, 534962.9851554801 4067054.0540371253, 535000.2067542948 4067194.6689659804, 535015.3711093673 4067255.326386271, 535055.3498636498 4067362.8554495135, 535077.4071073919 4067408.3485147315, 535099.4643511338 4067426.270025272, 535116.0072839403 4067467.6273572883, 535146.3359940856 4067521.3918889095)"
27,A02-005_11,A02-005,"11.Playa La Romanilla",1512.131678,85,W,04079,Roquetas de Mar,"LINESTRING (535178.7325708315 4068170.0127126975, 535175.9754153638 4068321.6562634236, 535200.7898145736 4068442.971104005, 535253.1757684608 4068597.371810199, 535349.6762098322 4068969.587798345, 535407.5764746551 4069121.2313490715, 535451.690962139 4069223.2461013785, 535493.0482941554 4069358.346719298, 535556.4628699137 4069501.7188036214, 535578.5201136557 4069556.8619129765, 535595.0630464623 4069612.0050223316)"
28,A02-005_12,A02-005,"12.Playa de las Salinas",1632.245491,73,S,04079,Roquetas de Mar,"LINESTRING (535595.752335329 4069613.3836000655, 535634.3525118775 4069726.4269742435, 535708.7957095068 4069872.5562140346, 535791.5103735394 4070073.8285631803, 535912.8252141206 4070280.615223262, 535990.0255672176 4070363.329887294, 536100.3117859277 4070479.13041694, 536136.1548070085 4070594.9309465857, 536191.2979163636 4070691.431387957, 536271.2554249286 4070793.4461402646, 536337.4271561546 4070903.732358975, 536364.9987108322 4070964.3897792655, 536395.3274209774 4071016.775733153)"
29,A02-005_13,A02-005,"13.Playa Los Bajos o El Rompidillo",1860.595907,30,W,04079,Roquetas de Mar,"LINESTRING (536395.3274209776 4071016.7757331533, 536401.1863763466 4071032.2847326593, 536416.0060869858 4071064.6813094057, 536423.5882645221 4071080.879597779, 536448.7473081653 4071138.435218168, 536457.0187745686 4071158.424595309, 536460.4652189033 4071179.103261317, 536460.4652189033 4071191.855105356, 536469.7706186069 4071219.4266600325, 536480.4545960445 4071246.308925843, 536493.8957289498 4071270.7786806193, 536511.8172394902 4071294.5591465286, 536543.5245273694 4071318.339612438, 536561.7906823433 4071334.537900811, 536581.0907706176 4071352.804055785, 536615.2105695311 4071393.4720989345, 536627.9624135694 4071415.87398711, 536644.1607019425 4071458.60989686, 536648.9857240111 4071473.0849630656, 536650.0196573115 4071488.9386070054, 536662.7715013499 4071526.16020582, 536673.110834354 4071540.2906275922, 536708.6092110013 4071576.133648673, 536715.5020996707 4071588.8854927113, 536720.6717661727 4071605.428425518, 536729.632521443 4071621.626713891, 536756.5147872535 4071649.8875574353, 536769.6112757253 4071664.0179792074, 536800.2846303042 4071689.866311717, 536811.6578966087 4071705.0306667895, 536819.929363012 4071718.1271552616, 536856.8063173932 4071760.173776145, 536873.3492501997 4071779.4738644194, 536889.2028941393 4071801.1864637276, 536906.4351158128 4071841.509862444, 536919.1869598512 4071864.601039486, 536933.6620260569 4071881.1439722925, 536941.9334924602 4071892.517238597, 536948.1370922626 4071931.462059579, 536951.5835365973 4071944.9031924843, 536960.5442918675 4071966.9604362263, 536985.3586910773 4072007.283834942, 537001.5569794504 4072021.069612281, 537024.3035120593 4072036.9232562208, 537033.2642673295 4072054.5001223274, 537052.9090000372 4072094.47887661, 537069.4519328438 4072118.9486313863, 537092.5431098861 4072151.6898525655, 537103.9163761906 4072165.4756299043, 537131.1432864347 4072186.843584779, 537150.7880191425 4072204.420450886, 537158.7148411121 4072217.516939358, 537184.2185291889 4072267.145737778, 537200.0721731285 4072290.926203687, 537219.0276169692 4072322.288847133, 537235.9151942092 4072342.967513141, 537268.6564153888 4072379.844467522, 537288.3011480964 4072401.2124223975, 537310.013747405 4072417.066066337, 537346.5460573526 4072446.7054876145, 537359.9871902579 4072460.8359093866, 537370.6711676954 4072475.310975592, 537385.8355227681 4072492.887841699, 537412.3731441452 4072525.9737073127)"
30,A02-005_14,A02-005,"14.Playa de Aguadulce",2530.175011,35,S,04079,Roquetas de Mar,"LINESTRING (537413.4070774455 4072525.284418447, 537437.5321877884 4072576.2917946004, 537459.5894315303 4072613.513393415, 537480.2680975385 4072656.938592032, 537520.246851821 4072719.6638789233, 537554.022006301 4072772.0498328106, 537574.0113834421 4072802.378542956, 537586.418583047 4072823.057208964, 537616.0580043254 4072872.6860073837, 537669.1332470797 4072943.682760678, 537708.4227124951 4073000.204447767, 537740.1300003743 4073056.0368459895, 537864.8912852899 4073206.3018189818, 537935.1987497177 4073294.5307939495, 538006.8847918792 4073371.7311470467, 538102.0066555168 4073487.531676692, 538148.8782984687 4073546.8105192487, 538195.7499414204 4073579.896384862, 538244.0001621061 4073608.8465172728, 538277.0860277191 4073643.3109606197, 538359.8006917516 4073797.711666814, 538421.836689776 4073903.862152322, 538459.0582885907 4073952.112373008, 538508.6870870104 4074016.9055265, 538536.2586416878 4074045.8556589116, 538565.2087740992 4074054.127125315, 538594.1589065107 4074052.748547581, 538612.080417051 4074049.9913921133, 538627.2447721236 4074067.9129026537, 538627.2447721236 4074096.863035065, 538641.0305494624 4074138.2203670815, 538671.3592596077 4074175.4419658957, 538749.9381904388 4074255.399474461, 538788.5383669873 4074305.0282728807, 538829.8956990036 4074343.6284494293, 538876.7673419553 4074368.442848639, 538907.0960521006 4074380.8500482435, 538938.8033399798 4074384.985781445, 538971.8892055928 4074369.821426373, 538985.6749829316 4074360.171382236)"
31,A03-001_01,A03-001,"01.Playa del Palmer",197.645009,20,S,04041,Enix,"LINESTRING (541761.7809938284 4075135.9013122628, 541778.8120783792 4075161.2809676714, 541799.8504769419 4075188.6642800863, 541816.5476186583 4075206.0293074716, 541830.9071605344 4075224.730106194, 541849.9419020911 4075240.091476573, 541858.958358618 4075246.7703332594, 541872.9839576598 4075261.1298751356, 541879.9967571807 4075266.472960485, 541892.6865848851 4075274.487588509, 541897.3617845657 4075276.825188349)"
32,A03-001_02,A03-001,"02.Playa La Garrofa",181.148864,15,S,04013,Almería,"LINESTRING (543083.7129997418 4075578.384625159, 543097.7385987836 4075591.4083956983, 543118.7769973463 4075603.7642805683, 543145.1584812582 4075610.7770800893, 543177.5509361881 4075613.448622764, 543209.9433911178 4075616.1201654384, 543241.0000747105 4075615.45227977, 543251.3523025746 4075605.7679375745)"
33,A03-001_03,A03-001,"03.Cala de Los Ahogados",75.347878,13,S,04013,Almería,"LINESTRING (543584.3767941082 4075599.339538012, 543595.7308504753 4075604.348680527, 543608.9215924313 4075602.8459377727, 543621.2774773014 4075602.1780521036, 543634.6351906746 4075601.677137852, 543645.6553042074 4075599.6734808465, 543654.1708464827 4075596.5010239203, 543657.6772462432 4075595.6661668345)"
34,A03-001_04,A03-001,"04.Cala del Lobo Marino",130.395805,12,S,04013,Almería,"LINESTRING (545039.2905073782 4075964.242771702, 545071.5498577349 4075967.7302690377, 545100.3217107558 4075964.824021258, 545122.1185691049 4075963.08027259, 545147.9841743459 4075958.139651364, 545159.6091654655 4075953.4896549163, 545166.0029105812 4075948.2584089125)"
35,A03-001_05,A03-001,"05.Playa de San Telmo",68.33999,9,S,04013,Almería,"LINESTRING (545411.72576657 4076015.1233730773, 545421.7440515999 4076021.635258347, 545431.9293080468 4076026.6444008616, 545441.9475930767 4076035.9948002226, 545450.7970781864 4076045.8461138355, 545462.652048805 4076054.1946846936, 545466.1584485656 4076054.8625703626)"
36,A03-001_06,A03-001,"06.Playa Las Olas",317.245304,22,S,04013,Almería,"LINESTRING (545525.5167873673 4076163.8949057707, 545565.5899274867 4076180.5920474874, 545592.9732399017 4076203.3001602213, 545613.67769563 4076219.997301938, 545643.064665051 4076230.0155869676, 545653.0829500807 4076233.355015311, 545665.1048921165 4076251.387928365, 545690.4845475255 4076258.0667850515, 545729.2219163076 4076265.4135274068, 545761.280428403 4076268.7529557496, 545781.3169984628 4076268.7529557496, 545811.3718535523 4076264.7456417377)"
37,A03-003_07,A03-003,"07.Playa de San Miguel o del Zapillo o Las Conchas",1415.478623,45,S,04013,Almería,"LINESTRING (548442.7736543696 4076076.3688039305, 548579.9485495803 4075985.693873198, 548679.9234732083 4075911.2939300328, 548784.5483932842 4075846.1939797634, 548879.8733204644 4075762.4940437027, 548991.473235212 4075690.4190987614, 549086.7981623922 4075616.0191555964, 549182.1230895724 4075534.64421776, 549210.0230682594 4075439.3192905793, 549358.8229545894 4075416.0693083396, 549433.2228977544 4075374.2193403095, 549491.3478533522 4075309.1193900397, 549653.3306614415 4075172.6512493845)"
