calado,porcentaje
0.00,0.00
0.10,0.00
0.15,0.80
0.20,12.70
0.40,36.90
0.60,59.00
0.80,79.50
1.00,91.80
1.20,100.00
1.50,100.00
2.00,100.00
3.00,100.00
