calado,porcentaje
0.00,0.00
0.10,5.00
0.15,10.00
0.20,40.00
0.40,70.00
0.60,100.00
0.80,100.00
1.00,100.00
1.20,100.00
1.50,100.00
2.00,100.00
3.00,100.00
