calado,porcentaje,dano
0.00,0.00,0.00
0.10,0.02,2.00
0.15,0.44,40.00
0.20,2.75,248.00
0.40,9.62,868.00
0.60,20.04,1808.00
0.80,30.03,2709.00
1.00,42.55,3838.00
1.20,56.06,5057.00
1.50,71.21,6424.00
2.00,88.91,8021.00
3.00,100.00,9021.00
