calado,porcentaje,dano
0.00,0.00,0.00
0.10,0.05,2.00
0.15,0.49,19.00
0.20,3.42,133.00
0.40,13.58,528.00
0.60,25.40,988.00
0.80,36.77,1430.00
1.00,48.62,1891.00
1.20,60.74,2362.00
1.50,72.87,2834.00
2.00,88.69,3449.00
3.00,100.00,3889.00
