calado,porcentaje
0.00,0.00
0.10,0.00
0.15,0.00
0.20,5.00
0.40,6.00
0.60,7.00
0.80,8.00
1.00,10.00
1.20,30.00
1.50,50.00
2.00,70.00
3.00,100.00
