calado,porcentaje,dano
0.00,0.00,0.00
0.10,0.02,2.00
0.15,0.51,61.00
0.20,4.23,505.00
0.40,13.55,1618.00
0.60,25.31,3022.00
0.80,36.44,4352.00
1.00,48.69,5815.00
1.20,61.66,7364.00
1.50,74.94,8949.00
2.00,90.31,10785.00
3.00,100.00,11942.00
