calado,porcentaje
0.00,0.00
0.10,0.00
0.15,0.00
0.20,5.00
0.40,10.00
0.60,20.00
0.80,30.00
1.00,40.00
1.20,60.00
1.50,80.00
2.00,100.00
3.00,100.00
