,data
hazard_dry_beach_lost,Alta
hazard_coastal_erosion,Leve
hazard_flood,Muy leve
total_hazard,Leve
dry_beach_lost_mean,9744.228801498937
dry_beach_lost_5,8184.213189794606
dry_beach_lost_95,11621.129071230118
coastal_erosion_mean,19.35609832015111
coastal_erosion_5,19.35609832015111
coastal_erosion_95,24.82319646629946
dry_beach_lost_rel,0.5256226372868624
flood_area_rel,0.26513864194230774
low_permeability,0.10309278350515463
flood_depth,2.747073171118812
slr,56.113136195870005
slr_5,56.113136195870005
slr_95,56.113136195870005
ma,7.354429248340562
ma_5,6.461291842672293
ma_95,8.230768826873822
flood_area,4915.259366568236
flood_area_5,3685.2940343053
flood_area_95,5786.74801105938
flood_severity,0.01894637927391581
