# Table 12 (pag. 30)
10,30,50,100,500
0,0,0,0,0
6000,18000,30000,60000,300000
80000,240000,400000,800000,4000000
150000,450000,750000,1500000,7500000
210000,630000,1050000,2100000,10500000
inf,inf,inf,inf,inf
