,data
hazard_dry_beach_lost,Alta
hazard_coastal_erosion,Leve
hazard_flood,Muy leve
total_hazard,Leve
dry_beach_lost_mean,16180.59350997928
dry_beach_lost_5,13788.350461386879
dry_beach_lost_95,19397.04943062171
coastal_erosion_mean,18.437082294598255
coastal_erosion_5,18.437082294598255
coastal_erosion_95,24.77632427309119
dry_beach_lost_rel,0.5691254575932972
flood_area_rel,0.35783159034973944
low_permeability,0.12269938650306748
flood_depth,2.826173459030772
slr,58.95292396366694
slr_5,58.95292396366694
slr_95,58.95292396366694
ma,7.148589982136645
ma_5,6.367688679573185
ma_95,8.180774192149698
flood_area,10173.376416797188
flood_area_5,8141.454558094589
flood_area_95,12797.655091986046
flood_severity,0.023537466872358536
